Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,PerformanceReview,SentimentScore
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,"Employee 1 is a 41-year-old Female working in the Sales department. They have 2 satisfaction with their work environment and 4 job satisfaction. They have 8 years of total working experience, 6 years of experience with the current company, and 4 years of experience in their current role. Their job level is 2 and their monthly income is $5993 with a performance rating of 3.5/10 (in 2012) (C). They need support as their productivity level is now around 21.",0.9257926344871521
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7,"Employee 2 is a 49-year-old Male working in the Research & Development department. They have 3 satisfaction with their work environment and 2 job satisfaction. They have 10 years of total working experience, 10 years of experience with the current company, and 7 years of experience in their current role. Their job level is 2 and their monthly income is $5130 with a performance rating of 4.0% (1 of 3 on our ratings scale) (1 of 1 for the average job).",0.6896724104881287
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,"Employee 4 is a 37-year-old Male working in the Research & Development department. They have 4 satisfaction with their work environment and 3 job satisfaction. They have 7 years of total working experience, 0 years of experience with the current company, and 0 years of experience in their current role. Their job level is 1 and their monthly income is $2090 with a performance rating of 3.67 with a average salary of $2.85. The job description is: ""Provide good",0.9866742491722107
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,"Employee 5 is a 33-year-old Female working in the Research & Development department. They have 4 satisfaction with their work environment and 3 job satisfaction. They have 8 years of total working experience, 8 years of experience with the current company, and 7 years of experience in their current role. Their job level is 1 and their monthly income is $2909 with a performance rating of 3.9 due to their low pay, low productivity, and lack of interest in the project.",0.9922521710395813
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,"Employee 7 is a 27-year-old Male working in the Research & Development department. They have 1 satisfaction with their work environment and 2 job satisfaction. They have 6 years of total working experience, 2 years of experience with the current company, and 2 years of experience in their current role. Their job level is 1 and their monthly income is $3468 with a performance rating of 3.9 out of the 6. The position is open until September 1st of each year.",0.6424570083618164
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,"Employee 8 is a 32-year-old Male working in the Research & Development department. They have 4 satisfaction with their work environment and 4 job satisfaction. They have 8 years of total working experience, 7 years of experience with the current company, and 7 years of experience in their current role. Their job level is 1 and their monthly income is $3068 with a performance rating of 3. It is estimated that they earn $28,900 per month.

Benefits

1",0.8655805587768555
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0,"Employee 10 is a 59-year-old Female working in the Research & Development department. They have 3 satisfaction with their work environment and 1 job satisfaction. They have 12 years of total working experience, 1 years of experience with the current company, and 0 years of experience in their current role. Their job level is 1 and their monthly income is $2670 with a performance rating of 4.0-4.10. They have about 20 hours of total work experience, working 50 hours a",0.7527037858963013
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0,"Employee 11 is a 30-year-old Male working in the Research & Development department. They have 4 satisfaction with their work environment and 3 job satisfaction. They have 1 years of total working experience, 1 years of experience with the current company, and 0 years of experience in their current role. Their job level is 1 and their monthly income is $2693 with a performance rating of 4.3. They work for an employer that offers a flexible working environment. They have 2 years of total",0.9344587326049805
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8,"Employee 12 is a 38-year-old Male working in the Research & Development department. They have 4 satisfaction with their work environment and 3 job satisfaction. They have 10 years of total working experience, 9 years of experience with the current company, and 7 years of experience in their current role. Their job level is 3 and their monthly income is $9526 with a performance rating of 4. They are not employed in their position.

Their job score indicates that they can successfully perform some",0.9800580739974976
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7,"Employee 13 is a 36-year-old Male working in the Research & Development department. They have 3 satisfaction with their work environment and 3 job satisfaction. They have 17 years of total working experience, 7 years of experience with the current company, and 7 years of experience in their current role. Their job level is 2 and their monthly income is $5237 with a performance rating of 3.

Job Level is 3

Resisting the negative view that they are ""no longer able",0.9936648607254028
